Main group,Taxon group,Scientific Name,Common name,Conservation action needed,Avoid negative impacts,Watching brief only,Link to Species Records on NBN Gateway,Threatened species,Legally protected species,S1 - on UKBAP list,S2 - Internatnl. Obligation,S3 - Rare in the UK (<16 10km sqs),S4 - <6 Scottish 10km sqs,S5 - >25% Scottish Decline,S6a - Endemic to Scotland,S6b - endemic sub-species/ race,Taxon Version Key,UKBAP Code
Terrestrial invertebrates,mollusc,Vertigo (Vertigo) genesii,Round-mouthed Whorl Snail,Yes,Yes,-,NBN map,NT,ELD,Yes,Yes,Yes,Yes,-,-,-,NHMSYS0001702271,626
Terrestrial invertebrates,mollusc,Vertigo (Vertigo) geyeri,Geyer's Whorl Snail,Yes,Yes,-,NBN map,EN,ELD,Yes,Yes,-,-,-,-,-,NHMSYS0001702272,627
Terrestrial invertebrates,mollusc,Vertigo (Vertigo) modesta,Cross Whorl Snail,Yes,Yes,-,NBN map,EN,-,-,-,Yes,Yes,-,-,-,NHMSYS0001702274,628
Terrestrial invertebrates,mollusc,Vertigo (Vertilla) angustior,Narrow-mouthed Whorl Snail,Yes,Yes,-,NBN map,NT,ELD,Yes,Yes,Yes,Yes,-,-,-,NHMSYS0001702280,2691
Aquatic invertebrates,annelid,Hirudo medicinalis,Medicinal Leech,Yes,Yes,-,NBN map,NT,WCA 1981 3,Yes,Yes,-,Yes,Yes,-,-,NBNSYS0000022372,
Aquatic invertebrates,crustacean,Austropotamobius pallipes,Freshwater White-clawed Crayfish,Yes,Yes,-,NBN map,EN,WCA 1981 3,Yes,Yes,Yes,Yes,-,-,-,NBNSYS0000033009,124
Aquatic invertebrates,crustacean,Triops cancriformis,Tadpole Shrimp,Yes,Yes,-,NBN map,EN,WCA 1981,Yes,-,Yes,Yes,-,-,-,NBNSYS0000032970,617
Aquatic invertebrates,insect - beetle (Coleoptera),Agabus (Agabus) uliginosus,a water beetle,-,-,Yes,NBN map,NT,-,-,-,-,Yes,-,-,-,NHMSYS0001716535,
Aquatic invertebrates,insect - beetle (Coleoptera),Augyles maritimus,a water beetle,-,-,Yes,NBN map,NT,-,-,-,Yes,Yes,-,-,-,NHMSYS0001717097,
Aquatic invertebrates,insect - beetle (Coleoptera),Bagous (Abagous) lutulentus,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,-,-,-,-,NHMSYS0020151444,
Aquatic invertebrates,insect - beetle (Coleoptera),Bagous (Bagous) collignensis,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,-,-,-,-,NHMSYS0020151451,
Aquatic invertebrates,insect - beetle (Coleoptera),Berosus (Berosus) luridus,a water beetle,-,-,Yes,NBN map,NT,-,-,-,-,Yes,-,-,-,NHMSYS0001717238,
Aquatic invertebrates,insect - beetle (Coleoptera),Bidessus minutissimus,Minutest Diving Beetle,Yes,Yes,-,NBN map,VU,-,Yes,-,Yes,Yes,-,-,-,NBNSYS0000007523,145
Aquatic invertebrates,insect - beetle (Coleoptera),Cercyon (Cercyon) alpinus,a water beetle,-,-,Yes,NBN map,DD,-,-,-,Yes,-,-,-,-,NHMSYS0001717577,
Aquatic invertebrates,insect - beetle (Coleoptera),Cercyon (Cercyon) convexiusculus,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,-,-,-,-,NHMSYS0001717579,
Aquatic invertebrates,insect - beetle (Coleoptera),Cercyon (Cercyon) depressus,a water beetle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0001717580,
Aquatic invertebrates,insect - beetle (Coleoptera),Cercyon (Cercyon) melanocephalus,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,-,-,-,-,NHMSYS0001717620,
Aquatic invertebrates,insect - beetle (Coleoptera),Cercyon (Cercyon) nigriceps,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,-,-,-,-,NHMSYS0001717621,
Aquatic invertebrates,insect - beetle (Coleoptera),Cercyon (Cercyon) quisquilius,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,-,-,-,-,NHMSYS0001717624,
Aquatic invertebrates,insect - beetle (Coleoptera),Cercyon (Cercyon) terminatus,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,-,-,-,-,NHMSYS0001717626,
Aquatic invertebrates,insect - beetle (Coleoptera),Cryptopleurum minutum,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,-,-,-,-,NHMSYS0001717763,
Aquatic invertebrates,insect - beetle (Coleoptera),Cyphon kongsbergensis,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,-,-,NBNSYS0000024175,
Aquatic invertebrates,insect - beetle (Coleoptera),Cyphon ochraceus,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,-,-,NBNSYS0000024177,
Aquatic invertebrates,insect - beetle (Coleoptera),Cyphon pubescens,a water beetle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0001596571,
Aquatic invertebrates,insect - beetle (Coleoptera),Cyphon punctipennis,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,-,-,-,-,NHMSYS0001717811,
Aquatic invertebrates,insect - beetle (Coleoptera),Donacia aquatica,Zircon Reed Beetle,Yes,-,-,NBN map,-,-,Yes,-,-,Yes,-,-,-,NBNSYS0000011085,268
Aquatic invertebrates,insect - beetle (Coleoptera),Donacia cinerea,a Reed beetle,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,-,-,NBNSYS0000011087,
Aquatic invertebrates,insect - beetle (Coleoptera),Donacia crassipes,Water-Lily Reed Beetle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0020152031,
Aquatic invertebrates,insect - beetle (Coleoptera),Donacia impressa,a Reed beetle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000011091,
Aquatic invertebrates,insect - beetle (Coleoptera),Donacia marginata,a Reed beetle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000011092,
Aquatic invertebrates,insect - beetle (Coleoptera),Donacia obscura,a Reed beetle,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,-,-,NBNSYS0000011093,
Aquatic invertebrates,insect - beetle (Coleoptera),Donacia sparganii,a Reed beetle,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,-,-,NBNSYS0000011096,
Aquatic invertebrates,insect - beetle (Coleoptera),Donacia thalassina,a Reed beetle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000011097,
Aquatic invertebrates,insect - beetle (Coleoptera),Donacia vulgaris,a Reed beetle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000011099,
Aquatic invertebrates,insect - beetle (Coleoptera),Dryops (Dryops) similaris,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,-,-,NHMSYS0001717988,
Aquatic invertebrates,insect - beetle (Coleoptera),Dryops (Yrdops) nitidulus,a water beetle,-,-,Yes,NBN map,NT,-,-,-,Yes,Yes,-,-,-,NHMSYS0001717991,
Aquatic invertebrates,insect - beetle (Coleoptera),Elodes minuta,a water beetle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000024171,
Aquatic invertebrates,insect - beetle (Coleoptera),Elodes pseudominuta,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,-,-,NHMSYS0001718058,
Aquatic invertebrates,insect - beetle (Coleoptera),Enochrus quadripunctatus,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,-,-,NHMSYS0001718084,
Aquatic invertebrates,insect - beetle (Coleoptera),Enochrus testaceus,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,-,-,NHMSYS0001718086,
Aquatic invertebrates,insect - beetle (Coleoptera),Gyrinus distinctus,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,-,-,NHMSYS0001718268,
Aquatic invertebrates,insect - beetle (Coleoptera),Gyrinus paykulli,a water beetle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000007636,
Aquatic invertebrates,insect - beetle (Coleoptera),Gyrinus suffriani,a water beetle,Yes,Yes,-,NBN map,VU,-,-,-,Yes,Yes,-,-,-,NBNSYS0000007644,
Aquatic invertebrates,insect - beetle (Coleoptera),Haliplus (Haliplinus) apicalis,a water beetle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0001718305,
Aquatic invertebrates,insect - beetle (Coleoptera),Helochares punctatus,a water beetle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000007722,
Aquatic invertebrates,insect - beetle (Coleoptera),Helophorus (Cyphelophorus) tuberculatus,a water beetle,Yes,Yes,-,NBN map,VU,-,-,-,Yes,Yes,-,-,-,NHMSYS0001718393,
Aquatic invertebrates,insect - beetle (Coleoptera),Helophorus (Empleurus) porculus,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,-,-,NHMSYS0001718396,
Aquatic invertebrates,insect - beetle (Coleoptera),Helophorus (Helophorus) griseus,a water beetle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0001718403,
Aquatic invertebrates,insect - beetle (Coleoptera),Helophorus (Trichohelophorus) alternans,a water beetle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0001718414,
Aquatic invertebrates,insect - beetle (Coleoptera),Heterocerus flexuosus,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,-,-,NBNSYS0000024203,
Aquatic invertebrates,insect - beetle (Coleoptera),Heterocerus fossor,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,-,-,NBNSYS0000024204,
Aquatic invertebrates,insect - beetle (Coleoptera),Hydraena pulchella,a water beetle,Yes,Yes,-,NBN map,VU,-,-,-,Yes,-,-,-,-,NBNSYS0000007763,
Aquatic invertebrates,insect - beetle (Coleoptera),Hydraena pygmaea,a water beetle,Yes,Yes,-,NBN map,VU,-,-,-,Yes,Yes,-,-,-,NHMSYS0001718485,
Aquatic invertebrates,insect - beetle (Coleoptera),Hydrochus angustatus,a water beetle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000007649,
Aquatic invertebrates,insect - beetle (Coleoptera),Hydrochus brevis,a water beetle,-,-,Yes,NBN map,NT,-,-,-,-,Yes,-,-,-,NBNSYS0000007650,
Aquatic invertebrates,insect - beetle (Coleoptera),Hydrochus elongatus,a water beetle,-,-,Yes,NBN map,NT,-,-,-,-,Yes,-,-,-,NBNSYS0000007652,
Aquatic invertebrates,insect - beetle (Coleoptera),Hydroporus elongatulus,a water beetle,Yes,Yes,-,NBN map,VU,-,-,-,Yes,Yes,-,-,-,NBNSYS0000007537,
Aquatic invertebrates,insect - beetle (Coleoptera),Hydroporus glabriusculus,a water beetle,Yes,Yes,-,NBN map,VU,-,-,-,Yes,Yes,-,-,-,NHMSYS0001718517,
Aquatic invertebrates,insect - beetle (Coleoptera),Hydroporus longulus,a water beetle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0001718521,
Aquatic invertebrates,insect - beetle (Coleoptera),Hydroporus rufifrons,Oxbow Diving Beetle,Yes,Yes,-,NBN map,EN,-,Yes,-,Yes,Yes,-,-,-,NHMSYS0001718535,381
Aquatic invertebrates,insect - beetle (Coleoptera),Hygrotus (Hygrotus) versicolor,a water beetle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0001718568,
Aquatic invertebrates,insect - beetle (Coleoptera),Ilybius wasastjernae,a water beetle,Yes,Yes,-,NBN map,EN,-,-,-,-,Yes,-,-,-,NHMSYS0001718613,
Aquatic invertebrates,insect - beetle (Coleoptera),Laccobius atratus,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,-,-,NHMSYS0001718650,
Aquatic invertebrates,insect - beetle (Coleoptera),Liopterus haemorrhoidalis,a water beetle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0001718857,
Aquatic invertebrates,insect - beetle (Coleoptera),Megasternum concinnum,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,-,-,-,-,NHMSYS0001718953,
Aquatic invertebrates,insect - beetle (Coleoptera),Ochthebius (Asiobates) auriculatus,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,-,-,-,-,NHMSYS0001719197,
Aquatic invertebrates,insect - beetle (Coleoptera),Ochthebius (Hymenodes) punctatus,a water beetle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0001719208,
Aquatic invertebrates,insect - beetle (Coleoptera),Ochthebius (Ochthebius) lenensis,a water beetle,Yes,Yes,-,NBN map,EN,-,-,-,Yes,Yes,-,-,-,NHMSYS0001719210,
Aquatic invertebrates,insect - beetle (Coleoptera),Ochthebius (Ochthebius) viridis,a water beetle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0001719213,
Aquatic invertebrates,insect - beetle (Coleoptera),Oreodytes alpinus,a water beetle,Yes,Yes,-,NBN map,VU,-,-,-,Yes,-,-,-,-,NBNSYS0000007577,
Aquatic invertebrates,insect - beetle (Coleoptera),Pelenomus canaliculatus,a water beetle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0020152998,
Aquatic invertebrates,insect - beetle (Coleoptera),Plateumaris rustica,a water beetle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0001596573,
Aquatic invertebrates,insect - beetle (Coleoptera),Poophagus sisymbrii,a water beetle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0020153183,
Aquatic invertebrates,insect - beetle (Coleoptera),Prionocyphon serricornis,a water beetle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0001719683,
Aquatic invertebrates,insect - beetle (Coleoptera),Rhantus (Rhantus) frontalis,a water beetle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0001719997,
Aquatic invertebrates,insect - beetle (Coleoptera),Rhantus (Rhantus) suturalis,a water beetle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0001719998,
Aquatic invertebrates,insect - beetle (Coleoptera),Scirtes hemisphaericus,a water beetle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000024186,
Aquatic invertebrates,insect - beetle (Coleoptera),Sphaeridium bipustulatum,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,-,-,-,-,NHMSYS0001720118,
Aquatic invertebrates,insect - beetle (Coleoptera),Sphaeridium lunatum,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,-,-,-,-,NHMSYS0001720119,
Aquatic invertebrates,insect - beetle (Coleoptera),Sphaeridium scarabaeoides,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,-,-,-,-,NBNSYS0000007678,
Aquatic invertebrates,insect - beetle (Coleoptera),Thryogenes nereis,a water beetle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000025329,
Aquatic invertebrates,insect - dragonfly (Odonata),Coenagrion hastulatum,Northern Damselfly,Yes,Yes,-,NBN map,EN,-,-,-,Yes,-,-,-,-,NBNSYS0000005607,
Aquatic invertebrates,Insect - ephemeroptera,Nigrobaetis niger,Iron Blue Mayfly,-,-,Yes,NBN map,-,-,Yes,-,-,-,-,-,-,NBNSYS0100004260,2453
Aquatic invertebrates,mollusc,Anodonta (Anodonta) cygnea,Swan Mussel,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0001701888,
Aquatic invertebrates,mollusc,Margaritifera (Margaritifera) margaritifera,Freshwater Pearl Mussel,Yes,Yes,-,NBN map,EN,WCA 1981 3,Yes,Yes,-,-,-,-,-,NHMSYS0001702090,437
Aquatic invertebrates,mollusc,Pisidium henslowanum,Henslow's Pea Mussel,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000006802,
Aquatic invertebrates,mollusc,Theodoxus (Theodoxus) fluviatilis,River nerite,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0020528295,
Vascular plants,flowering plant,Ajuga pyramidalis,Pyramidal Bugle,-,-,Yes,NBN map,VU,-,Yes,-,-,-,-,-,-,NBNSYS0000004271,2017
Vascular plants,flowering plant,Alchemilla glaucescens,Lady's Mantle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000003372,
Vascular plants,flowering plant,Allium oleraceum,Field Garlic,Yes,Yes,-,NBN map,VU,-,-,-,-,Yes,Yes,-,-,NBNSYS0000002197,
Vascular plants,flowering plant,Alopecurus myosuroides,Black-grass,Yes,-,-,NBN map,-,-,-,-,-,-,Yes,-,-,NHMSYS0000455779,
Vascular plants,flowering plant,Anagallis arvensis,Scarlet Pimpernel,Yes,-,-,NBN map,-,-,-,-,-,-,Yes,-,-,NBNSYS0000003943,
Vascular plants,flowering plant,Apium graveolens,Wild Celery,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000003663,
Vascular plants,flowering plant,Arabis alpina,Alpine Rock-cress,Yes,Yes,-,NBN map,EN,WCA 1981,-,-,Yes,Yes,-,-,-,NBNSYS0000002887,
Vascular plants,flowering plant,Arenaria norvegica,Arctic Sandwort,Yes,Yes,-,NBN map,-,WCA 1981,-,-,Yes,-,-,-,-,NBNSYS0000034114,2055
Vascular plants,flowering plant,Artemisia norvegica,Norwegian Mugwort,Yes,Yes,-,NBN map,VU,-,Yes,-,Yes,Yes,-,-,-,NHMSYS0000456106,112
Vascular plants,flowering plant,Astragalus alpinus,Alpine Milk-vetch,Yes,Yes,-,NBN map,VU,-,-,-,Yes,Yes,-,-,-,NBNSYS0000003268,2068
Vascular plants,flowering plant,Astragalus danicus,Purple Milk-vetch,-,-,Yes,NBN map,EN,-,Yes,-,-,-,-,-,-,NBNSYS0000003267,2069
Vascular plants,flowering plant,Bartsia alpina,Alpine Bartsia,-,-,Yes,NBN map,-,-,-,-,Yes,-,-,-,-,NBNSYS0000004168,
Vascular plants,flowering plant,Blysmus compressus,Flat-sedge,-,-,Yes,NBN map,VU,-,Yes,-,-,-,-,-,-,NHMSYS0000456532,2083
Vascular plants,flowering plant,Brassica oleracea,Wild Cabbage,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000002800,
Vascular plants,flowering plant,Bromus secalinus,Rye Brome,Yes,Yes,-,NBN map,VU,-,-,-,-,Yes,Yes,-,-,NBNSYS0000002589,
Vascular plants,flowering plant,Calamagrostis purpurea,Scandinavian Small-reed,-,-,Yes,NBN map,DD,-,-,-,Yes,Yes,-,-,-,NHMSYS0000456752,
Vascular plants,flowering plant,Calamagrostis scotica,Scottish Small-reed,Yes,Yes,-,NBN map,VU,-,Yes,-,Yes,Yes,-,Yes,-,NBNSYS0000002633,178
Vascular plants,flowering plant,Calamagrostis stricta,Narrow Small-reed,Yes,Yes,-,NBN map,VU,-,-,-,Yes,-,-,-,-,NBNSYS0000002632,2109
Vascular plants,flowering plant,Callitriche obtusangula,Blunt-fruited Water-starwort,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000003618,
Vascular plants,flowering plant,Callitriche palustris,Narrow-fruited Water-starwort,Yes,Yes,-,NBN map,VU,-,-,-,Yes,Yes,-,-,-,NBNSYS0000004690,
Vascular plants,flowering plant,Campanula glomerata,Clustered Bellflower,Yes,-,-,NBN map,-,-,-,-,-,-,Yes,-,-,NBNSYS0000004287,
Vascular plants,flowering plant,Campanula rapunculus,Rampion Bellflower,Yes,Yes,-,NBN map,EN,-,-,-,Yes,Yes,Yes,-,-,NBNSYS0000004290,2122
Vascular plants,flowering plant,Cardamine impatiens,Narrow-leaved Bitter-cress,-,-,Yes,NBN map,NT,-,-,-,-,Yes,-,-,-,NBNSYS0000002874,
Vascular plants,flowering plant,Carex appropinquata,Fibrous Tussock-sedge,-,-,Yes,NBN map,NT,-,-,-,-,Yes,-,-,-,NHMSYS0000456829,
Vascular plants,flowering plant,Carex atrofusca,Scorched Alpine-sedge,Yes,Yes,-,NBN map,VU,-,-,-,Yes,Yes,-,-,-,NBNSYS0000002455,
Vascular plants,flowering plant,Carex buxbaumii,Club Sedge,Yes,Yes,-,NBN map,VU,-,-,-,Yes,Yes,-,-,-,NBNSYS0000002452,
Vascular plants,flowering plant,Carex chordorrhiza,String Sedge,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,-,-,NHMSYS0000456838,
Vascular plants,flowering plant,Carex divulsa,Grey Sedge,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000014681,
Vascular plants,flowering plant,Carex elata,Tufted-sedge,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000002456,
Vascular plants,flowering plant,Carex elongata,Elongated Sedge,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000002481,
Vascular plants,flowering plant,Carex lachenalii,Hare's-foot Sedge,-,-,Yes,NBN map,NT,-,-,-,Yes,Yes,-,-,-,NHMSYS0000456865,
Vascular plants,flowering plant,Carex maritima,Curved Sedge,Yes,-,-,NBN map,EN,-,-,-,-,-,Yes,-,-,NBNSYS0000002474,2134
Vascular plants,flowering plant,Carex microglochin,Bristle Sedge,Yes,Yes,-,NBN map,VU,-,-,-,Yes,Yes,-,-,-,NBNSYS0000002489,
Vascular plants,flowering plant,Carex norvegica,Close-headed Alpine-sedge,-,-,Yes,NBN map,-,-,-,-,Yes,-,-,-,-,NHMSYS0000456876,
Vascular plants,flowering plant,Carex punctata,Dotted Sedge,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000002414,
Vascular plants,flowering plant,Carex rariflora,Mountain Bog-sedge,-,-,Yes,NBN map,-,-,-,-,Yes,-,-,-,-,NHMSYS0000456890,
Vascular plants,flowering plant,Carex recta,Estuarine Sedge,Yes,Yes,-,NBN map,VU,-,-,-,Yes,Yes,-,-,-,NBNSYS0000002459,
Vascular plants,flowering plant,Carum carvi,Caraway,Yes,-,-,NBN map,EN,-,-,-,-,-,Yes,-,-,NBNSYS0000003679,2135
Vascular plants,flowering plant,Centaurea cyanus,Cornflower,Yes,-,-,NBN map,-,-,Yes,-,-,Yes,-,-,-,NBNSYS0000004503,198
Vascular plants,flowering plant,Centaurea scabiosa,Greater Knapweed,Yes,-,-,NBN map,-,-,-,-,-,-,Yes,-,-,NBNSYS0000004501,
Vascular plants,flowering plant,Centaurium pulchellum,Lesser Centaury,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000003958,
Vascular plants,flowering plant,Cephalanthera longifolia,Narrow-leaved Helleborine,-,-,Yes,NBN map,VU,-,Yes,-,-,-,-,-,-,NBNSYS0000002286,2148
Vascular plants,flowering plant,Cerastium arcticum,Arctic Mouse-ear,-,-,Yes,NBN map,NT,-,Yes,-,-,-,-,-,-,NBNSYS0000003020,2154
Vascular plants,flowering plant,Cerastium fontanum subsp. scoticum,Scottish Mouse-ear,Yes,Yes,-,NBN map,VU,-,-,-,Yes,Yes,-,Yes,Yes,NHMSYS0000457068,2155
Vascular plants,flowering plant,Cerastium nigrescens,Shetland Mouse-ear,Yes,Yes,-,NBN map,EN,-,Yes,-,Yes,Yes,-,Yes,-,NHMSYS0000457073,200
Vascular plants,flowering plant,Chelidonium majus,Greater Celandine,Yes,-,-,NBN map,-,-,-,-,-,-,Yes,-,-,NBNSYS0000002775,
Vascular plants,flowering plant,Chenopodium bonus-henricus,Good-King-Henry,Yes,-,-,NBN map,VU,-,-,-,-,-,Yes,-,-,NBNSYS0000003088,
Vascular plants,flowering plant,Cicerbita alpina,Alpine Blue-sow-thistle,Yes,Yes,-,NBN map,VU,WCA 1981,-,-,Yes,Yes,-,-,-,NBNSYS0000004546,2174
Vascular plants,flowering plant,Cichorium intybus,Chicory,Yes,-,-,NBN map,-,-,-,-,-,-,Yes,-,-,NBNSYS0000004514,
Vascular plants,flowering plant,Clinopodium acinos,Basil Thyme,Yes,Yes,-,NBN map,VU,-,-,-,-,Yes,Yes,-,-,NBNSYS0000004216,2177
Vascular plants,flowering plant,Cochlearia micacea,Mountain Scurvygrass,-,-,Yes,NBN map,-,-,Yes,-,-,-,-,-,-,NHMSYS0000457396,229
Vascular plants,flowering plant,Cochlearia officinalis subsp. scotica,Scottish Scurvygrass,Yes,-,-,NBN map,-,-,Yes,-,-,-,Yes,-,-,NHMSYS0000457402,230
Vascular plants,flowering plant,Coeloglossum viride,Frog Orchid,-,-,Yes,NBN map,VU,-,Yes,-,-,-,-,-,-,NHMSYS0000457408,2213
Vascular plants,flowering plant,Coronopus squamatus,Swine-cress,Yes,-,-,NBN map,-,-,-,-,-,-,Yes,-,-,NHMSYS0000457521,
Vascular plants,flowering plant,Crassula aquatica,Pigmyweed,Yes,Yes,-,NBN map,VU,WCA 1981,-,-,Yes,Yes,-,-,-,NHMSYS0000457654,
Vascular plants,flowering plant,Crepis mollis,Northern Hawk's-beard,Yes,Yes,-,NBN map,EN,-,-,-,Yes,Yes,-,-,-,NBNSYS0000004574,2198
Vascular plants,flowering plant,Crithmum maritimum,Rock Samphire,Yes,-,-,NBN map,-,-,-,-,-,-,Yes,-,-,NBNSYS0000003687,
Vascular plants,flowering plant,Dactylorhiza ebudensis,Hebridean Marsh-orchid,Yes,Yes,-,NBN map,VU,-,-,-,-,Yes,-,Yes,-,NHMSYS0020110554,
Vascular plants,flowering plant,Dactylorhiza purpurella subsp. cambrensis,Welsh Marsh-orchid,Yes,-,-,NBN map,-,-,Yes,-,Yes,Yes,Yes,-,-,NHMSYS0020193660,2212
Vascular plants,flowering plant,Diapensia lapponica,Diapensia,Yes,Yes,-,NBN map,VU,WCA 1981,-,-,Yes,Yes,-,-,-,NBNSYS0000004597,
Vascular plants,flowering plant,Draba incana,Hoary Whitlowgrass,Yes,-,-,NBN map,-,-,-,-,-,-,Yes,-,-,NBNSYS0000002865,
Vascular plants,flowering plant,Eleocharis mamillata subsp. austriaca,Northern Spike-rush,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,-,-,NHMSYS0020110556,
Vascular plants,flowering plant,Eleocharis parvula,Dwarf Spike-rush,-,Yes,-,NBN map,-,WCA 1981,-,-,Yes,Yes,-,-,-,NHMSYS0100001375,
Vascular plants,flowering plant,Epipactis leptochila,Narrow-lipped Helleborine,-,-,Yes,NBN map,DD,-,-,-,-,Yes,-,-,-,NHMSYS0000458447,
Vascular plants,flowering plant,Epipactis palustris,Marsh Helleborine,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0000458452,
Vascular plants,flowering plant,Erigeron borealis,Alpine Fleabane,Yes,Yes,-,NBN map,VU,WCA 1981,-,-,Yes,-,-,-,-,NBNSYS0000004437,2251
Vascular plants,flowering plant,Eriocaulon aquaticum,Pipewort,-,-,Yes,NBN map,-,-,-,-,Yes,-,-,-,-,NBNSYS0000002154,
Vascular plants,flowering plant,Erodium lebelii,Sticky Stork's-bill,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0000458571,
Vascular plants,flowering plant,Erodium maritimum,Sea Stork's-bill,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0000458573,
Vascular plants,flowering plant,Erodium moschatum,Musk Stork's-bill,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0000458574,
Vascular plants,flowering plant,Eryngium maritimum,Sea-holly,Yes,-,-,NBN map,-,-,-,-,-,-,Yes,-,-,NBNSYS0000003636,
